# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class O2Ac
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    9   259    10   3.5  1.00  449  1.20  1.039   0.317  0.078  0.361 
    9   259    11   4.5  1.00  423  1.50  1.012   0.349  0.081  0.367 
    9   259    12   5.5  0.33  409  2.20  0.997   0.397  0.086  0.383 
   10   289     1  -5.5  0.24  409  2.40  0.992   0.381  0.073  0.394 
   10   289     2  -4.5  1.00  418  1.70  1.015   0.352  0.068  0.388 
   10   289     3  -3.5  1.00  446  1.30  1.067   0.284  0.061  0.372 
   10   289     4  -2.5  1.00  465  1.30  1.092   0.364  0.059  0.381 
   10   289     5  -1.5  1.00  413  1.20  1.081   0.422  0.056  0.341 
   10   289     6  -0.5  1.00  402  1.20  1.081   0.381  0.056  0.351 
   10   289     7   0.5  1.00  428  1.20  1.101   0.332  0.056  0.350 
   10   289     8   1.5  1.00  413  1.20  1.153   0.220  0.053  0.322 
   10   289     9   2.5  1.00  476  1.30  1.197   0.142  0.048  0.313 
   10   289    10   3.5  1.00  425  1.40  1.172   0.071  0.055  0.322 
   10   289    11   4.5  0.81  416  1.80  1.114   0.145  0.066  0.352 
   10   289    12   5.5  0.00  415  2.50  1.055   0.258  0.074  0.365 
   11   320     1  -5.5  0.00  414  2.50  1.061   0.314  0.062  0.381 
   11   320     2  -4.5  0.91  401  1.70  1.090   0.305  0.059  0.368 
   11   320     3  -3.5  1.00  425  1.20  1.115   0.302  0.055  0.362 
   11   320     4  -2.5  1.00  403  1.10  1.174   0.385  0.054  0.359 
   11   320     5  -1.5  1.00  477  1.20  1.183   0.387  0.045  0.334 
   11   320     6  -0.5  1.00  431  1.20  1.196   0.433  0.047  0.336 
   11   320     7   0.5  1.00  409  1.20  1.188   0.405  0.048  0.334 
   11   320     8   1.5  1.00  466  1.30  1.205   0.278  0.043  0.312 
   11   320     9   2.5  1.00  450  1.30  1.182   0.062  0.042  0.296 
   11   320    10   3.5  1.00  410  1.60  1.169   0.035  0.047  0.304 
   11   320    11   4.5  0.40  433  2.20  1.115   0.036  0.052  0.329 
   11   320    12   5.5  0.00  412  2.80  1.070   0.090  0.060  0.346 
   12   350     1  -5.5  0.00  429  2.70  1.026   0.293  0.060  0.381 
   12   350     2  -4.5  0.52  415  1.90  1.032   0.334  0.062  0.395 
   12   350     3  -3.5  1.00  442  1.40  1.041   0.278  0.061  0.399 
   12   350     4  -2.5  1.00  431  1.20  1.091   0.328  0.058  0.379 
   12   350     5  -1.5  1.00  425  1.20  1.145   0.377  0.051  0.339 
   12   350     6  -0.5  1.00  446  1.30  1.164   0.474  0.049  0.334 
   12   350     7   0.5  1.00  455  1.40  1.130   0.416  0.052  0.341 
   12   350     8   1.5  1.00  408  1.30  1.064   0.246  0.053  0.330 
   12   350     9   2.5  1.00  431  1.30  0.987   0.159  0.050  0.328 
   12   350    10   3.5  1.00  450  1.70  0.959   0.172  0.052  0.338 
   12   350    11   4.5  0.31  410  2.20  0.967   0.134  0.059  0.348 
   12   350    12   5.5  0.00  432  2.90  0.959   0.166  0.060  0.368 
