# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class HO2
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    8   228     7   0.5  1.00  511  1.00  0.767   0.086  0.094  0.425 
    8   228     8   1.5  1.00  571  1.00  0.709   0.068  0.089  0.438 
    8   228     9   2.5  1.00  621  1.00  0.675   0.064  0.082  0.414 
    8   228    10   3.5  1.00  635  1.00  0.676   0.214  0.076  0.383 
    8   228    11   4.5  1.00  568  1.00  0.684   0.200  0.079  0.379 
    8   228    12   5.5  0.79  444  1.40  0.699   0.240  0.083  0.357 
    9   259     1  -5.5  0.46  464  1.80  1.632  -0.051  0.069  0.280 
    9   259     2  -4.5  1.00  402  1.10  1.591  -0.038  0.078  0.278 
    9   259     3  -3.5  1.00  420  1.00  1.325   0.026  0.072  0.293 
    9   259     4  -2.5  1.00  433  1.00  1.120   0.167  0.068  0.296 
    9   259     5  -1.5  1.00  474  1.00  0.964   0.279  0.065  0.309 
    9   259     6  -0.5  1.00  542  1.00  0.828   0.264  0.070  0.352 
    9   259     7   0.5  1.00  623  1.00  0.711   0.134  0.070  0.395 
    9   259     8   1.5  1.00  676  1.00  0.635  -0.030  0.070  0.409 
    9   259     9   2.5  1.00  703  1.00  0.591  -0.002  0.067  0.391 
    9   259    10   3.5  1.00  664  1.00  0.576  -0.022  0.065  0.366 
    9   259    11   4.5  1.00  435  1.00  0.576  -0.076  0.083  0.381 
    9   259    12   5.5  0.33  460  1.70  0.618   0.029  0.083  0.371 
   10   289     1  -5.5  0.24  404  1.80  1.488  -0.032  0.055  0.261 
   10   289     2  -4.5  1.00  443  1.20  1.379   0.041  0.045  0.255 
   10   289     3  -3.5  1.00  565  1.00  1.224   0.057  0.039  0.258 
   10   289     4  -2.5  1.00  582  1.00  1.032   0.113  0.037  0.256 
   10   289     5  -1.5  1.00  636  1.00  0.883   0.131  0.040  0.297 
   10   289     6  -0.5  1.00  647  1.00  0.772   0.134  0.042  0.319 
   10   289     7   0.5  1.00  650  1.00  0.670   0.097  0.042  0.332 
   10   289     8   1.5  1.00  628  1.00  0.608  -0.036  0.044  0.341 
   10   289     9   2.5  1.00  588  1.00  0.569  -0.037  0.048  0.344 
   10   289    10   3.5  1.00  503  1.00  0.542   0.037  0.054  0.340 
   10   289    11   4.5  0.81  465  1.40  0.540  -0.061  0.063  0.356 
   10   289    12   5.5  0.00  426  2.00  0.569  -0.082  0.073  0.371 
   11   320     1  -5.5  0.00  412  2.00  1.471  -0.013  0.044  0.248 
   11   320     2  -4.5  0.91  448  1.30  1.459   0.032  0.041  0.255 
   11   320     3  -3.5  1.00  580  1.00  1.416   0.094  0.037  0.263 
   11   320     4  -2.5  1.00  640  1.00  1.241   0.143  0.038  0.282 
   11   320     5  -1.5  1.00  667  1.00  1.108   0.138  0.038  0.298 
   11   320     6  -0.5  1.00  617  1.00  1.017   0.141  0.044  0.319 
   11   320     7   0.5  1.00  576  1.00  0.960   0.178  0.050  0.333 
   11   320     8   1.5  1.00  560  1.00  0.864   0.173  0.053  0.365 
   11   320     9   2.5  1.00  528  1.00  0.787   0.164  0.053  0.372 
   11   320    10   3.5  1.00  421  1.10  0.716   0.141  0.060  0.373 
   11   320    11   4.5  0.40  409  1.70  0.653   0.101  0.065  0.370 
   11   320    12   5.5  0.00  431  2.40  0.619   0.070  0.068  0.376 
   12   350     1  -5.5  0.00  425  2.30  1.679  -0.015  0.047  0.281 
   12   350     2  -4.5  0.52  404  1.50  1.752  -0.016  0.048  0.285 
   12   350     3  -3.5  1.00  439  1.00  1.758  -0.007  0.049  0.312 
   12   350     4  -2.5  1.00  576  1.00  1.618   0.060  0.042  0.322 
   12   350     5  -1.5  1.00  530  1.00  1.484   0.157  0.044  0.322 
   12   350     6  -0.5  1.00  479  1.00  1.427   0.178  0.049  0.349 
   12   350     7   0.5  1.00  440  1.00  1.351   0.163  0.053  0.372 
   12   350     8   1.5  1.00  444  1.00  1.216   0.218  0.053  0.369 
   12   350     9   2.5  1.00  459  1.00  1.040   0.060  0.054  0.375 
   12   350    10   3.5  1.00  485  1.30  0.903   0.062  0.054  0.385 
   12   350    11   4.5  0.31  416  1.80  0.843   0.012  0.062  0.406 
   12   350    12   5.5  0.00  401  2.50  0.791   0.042  0.067  0.402 
