# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class K
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
   10   289     5  -1.5  1.00  104  1.30  0.847  -0.134  0.082  0.411 
   10   289     6  -0.5  1.00  109  1.30  0.833  -0.052  0.084  0.476 
   10   289     7   0.5  1.00  110  1.20  0.921  -0.027  0.106  0.591 
   10   289     8   1.5  1.00  103  1.10  1.073  -0.106  0.124  0.612 
   10   289     9   2.5  1.00  115  1.10  1.091  -0.081  0.107  0.556 
   10   289    10   3.5  1.00  100  1.00  1.172  -0.060  0.107  0.555 
   10   289    11   4.5  0.81  113  1.60  1.181  -0.061  0.101  0.535 
   10   289    12   5.5  0.00  113  2.30  1.169   0.036  0.101  0.535 
   11   320     1  -5.5  0.00  106  2.60  0.755  -0.031  0.096  0.422 
   11   320     2  -4.5  0.91  116  1.90  0.759  -0.072  0.086  0.423 
   11   320     3  -3.5  1.00  118  1.50  0.779  -0.089  0.084  0.434 
   11   320     4  -2.5  1.00  101  1.30  0.773  -0.171  0.088  0.443 
   11   320     5  -1.5  1.00  107  1.40  0.778  -0.209  0.075  0.393 
   11   320     6  -0.5  1.00  102  1.30  0.820  -0.183  0.090  0.463 
   11   320     7   0.5  1.00  117  1.30  0.901  -0.108  0.100  0.543 
   11   320     8   1.5  1.00  115  1.30  1.024  -0.135  0.104  0.531 
   11   320     9   2.5  1.00  106  1.30  0.994   0.078  0.124  0.593 
   11   320    10   3.5  1.00  102  1.50  1.081   0.022  0.131  0.590 
   11   320    11   4.5  0.40  115  2.00  1.118   0.012  0.110  0.567 
   11   320    12   5.5  0.00  103  2.60  1.112   0.013  0.115  0.570 
   12   350     1  -5.5  0.00  105  2.80  0.702  -0.183  0.083  0.415 
   12   350     2  -4.5  0.52  103  2.10  0.699  -0.191  0.080  0.409 
   12   350     3  -3.5  1.00  111  1.60  0.669  -0.189  0.074  0.416 
   12   350     4  -2.5  1.00  118  1.50  0.651  -0.175  0.068  0.394 
   12   350     5  -1.5  1.00  107  1.50  0.677  -0.159  0.076  0.403 
   12   350     6  -0.5  1.00  114  1.50  0.735  -0.198  0.075  0.429 
   12   350     7   0.5  1.00  107  1.40  0.823  -0.152  0.097  0.537 
   12   350     8   1.5  1.00  105  1.40  0.827  -0.057  0.104  0.566 
   12   350     9   2.5  1.00  112  1.40  0.757   0.110  0.078  0.443 
   12   350    10   3.5  1.00  105  1.60  0.782   0.086  0.084  0.492 
   12   350    11   4.5  0.31  109  2.20  0.825   0.055  0.112  0.619 
   12   350    12   5.5  0.00  103  2.80  0.919   0.032  0.120  0.609 
