# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of FeOf06a (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+24)
# 
    bin   fbin  N  year  DOY     LT        MJD   S27d          I 
  15559  1.395  2  2009  324  20.80  55156.062   72.2  1.549e+01 
  15560  0.697  1  2009  324  21.36  55156.085   72.2  1.210e+01 
  15562  1.000  1  2009  324  22.23  55156.122   72.2  1.579e+01 
  15563  1.000  1  2009  324  22.76  55156.144   72.2  1.795e+01 
  15564  1.000  1  2009  324  23.29  55156.166   72.2  1.587e+01 
  15565  1.000  1  2009  324  23.81  55156.188   72.2  1.559e+01 
  15619  0.722  1  2009  326   2.96  55157.319   72.2  2.274e+01 
  15620  0.722  1  2009  326   3.35  55157.335   72.2  1.940e+01 
  15656  0.500  1  2009  326  21.13  55158.076   72.2  1.796e+01 
  15657  1.000  2  2009  326  21.82  55158.105   72.2  2.385e+01 
  15658  0.500  1  2009  326  22.24  55158.122   72.2  1.915e+01 
  15659  0.500  1  2009  326  22.51  55158.134   72.2  1.694e+01 
  15660  0.946  1  2009  326  23.28  55158.165   72.2  2.213e+01 
  15661  0.946  1  2009  326  23.77  55158.186   72.2  2.056e+01 
  15662  0.946  1  2009  327   0.27  55158.207   72.2  1.903e+01 
  15663  0.946  1  2009  327   0.77  55158.228   72.2  1.721e+01 
  15665  1.111  2  2009  327   1.84  55158.272   72.2  1.168e+01 
  15667  1.000  2  2009  327   2.69  55158.308   72.2  1.268e+01 
  15702  1.000  2  2009  327  20.24  55159.039   72.1  1.454e+01 
  15703  1.000  2  2009  327  20.80  55159.062   72.1  1.335e+01 
  15704  1.000  2  2009  327  21.35  55159.085   72.1  1.361e+01 
  15706  1.293  2  2009  327  22.29  55159.124   72.1  1.864e+01 
  15707  0.647  1  2009  327  22.82  55159.147   72.1  1.636e+01 
  15708  0.647  1  2009  327  23.18  55159.161   72.1  1.480e+01 
  15709  1.052  2  2009  327  23.85  55159.189   72.1  1.695e+01 
  15711  0.781  1  2009  328   0.68  55159.224   72.1  1.479e+01 
  15712  0.781  1  2009  328   1.11  55159.242   72.1  1.497e+01 
  15713  0.781  1  2009  328   1.75  55159.268   72.1  1.194e+01 
  15714  0.781  1  2009  328   2.19  55159.287   72.1  1.480e+01 
  15716  2.000  1  2009  328   3.36  55159.336   72.1  6.995e+00 
  15761  0.454  1  2009  329   1.63  55160.264   72.0  1.339e+01 
  15763  0.909  2  2009  329   2.77  55160.311   72.0  1.352e+01 
  15764  0.909  2  2009  329   3.34  55160.335   72.0  1.639e+01 
  16230  1.000  1  2009  338  20.49  55170.050   72.6  8.946e+00 
  16278  0.820  1  2009  339  20.38  55171.045   72.8  7.641e+00 
  16279  0.820  1  2009  339  20.81  55171.063   72.8  9.089e+00 
  16326  0.694  1  2009  340  20.37  55172.044   73.0  1.408e+01 
  16327  0.694  1  2009  340  20.78  55172.062   73.0  1.141e+01 
  16329  1.000  1  2009  340  21.76  55172.102   73.0  1.187e+01 
  16330  1.000  1  2009  340  22.29  55172.124   73.0  1.437e+01 
