# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of NaI0590 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  14996  1.000   1  2009  313   3.12  55144.325   73.0  1.930e+01 
  15032  1.000   1  2009  313  21.38  55145.086   72.9  1.778e+01 
  15034  1.000   1  2009  313  22.30  55145.125   72.9  1.898e+01 
  15035  1.000   1  2009  313  22.85  55145.148   72.8  2.191e+01 
  15036  1.000   1  2009  313  23.41  55145.171   72.8  2.494e+01 
  15037  1.000   1  2009  313  23.96  55145.194   72.8  2.177e+01 
  15039  1.000   1  2009  314   0.51  55145.217   72.8  2.305e+01 
  15041  0.667   1  2009  314   1.82  55145.271   72.8  2.583e+01 
  15042  0.667   1  2009  314   2.20  55145.287   72.8  2.515e+01 
  15043  0.667   1  2009  314   2.59  55145.303   72.8  2.258e+01 
  15045  0.333   1  2009  314   3.51  55145.342   72.8  2.252e+01 
  15078  0.667   1  2009  314  20.38  55146.045   72.6  1.000e+01 
  15079  0.667   1  2009  314  20.76  55146.061   72.6  1.296e+01 
  15080  0.667   1  2009  314  21.15  55146.077   72.6  1.549e+01 
  15081  1.333   2  2009  314  21.73  55146.101   72.6  1.675e+01 
  15082  0.667   1  2009  314  22.30  55146.125   72.6  1.642e+01 
  15083  0.667   1  2009  314  22.69  55146.141   72.6  1.980e+01 
  15084  0.667   1  2009  314  23.07  55146.157   72.6  2.249e+01 
  15085  0.667   1  2009  314  23.73  55146.184   72.6  1.959e+01 
  15086  1.333   2  2009  315   0.30  55146.208   72.6  1.998e+01 
  15087  0.667   1  2009  315   0.88  55146.232   72.6  2.254e+01 
  15088  0.667   1  2009  315   1.26  55146.248   72.6  2.465e+01 
  15090  0.500   3  2009  315   2.26  55146.290   72.6  2.557e+01 
  15092  0.333   1  2009  315   3.34  55146.335   72.6  2.372e+01 
  15271  0.667   1  2009  318  20.78  55150.061   72.2  1.379e+01 
  15272  0.667   1  2009  318  21.20  55150.079   72.2  1.114e+01 
  15273  0.667   1  2009  318  21.93  55150.109   72.2  1.184e+01 
  15274  0.667   1  2009  318  22.35  55150.127   72.2  1.400e+01 
  15413  0.944   1  2009  321  19.52  55153.009   72.2  8.994e+00 
  15414  0.944   1  2009  321  20.03  55153.030   72.2  7.567e+00 
  15415  0.944   1  2009  321  20.54  55153.051   72.2  9.058e+00 
  15416  0.944   1  2009  321  21.04  55153.072   72.2  1.170e+01 
  15417  0.944   1  2009  321  21.65  55153.098   72.2  1.258e+01 
  15418  0.944   1  2009  321  22.16  55153.119   72.2  1.687e+01 
  15419  0.944   1  2009  321  22.68  55153.141   72.2  1.242e+01 
  15420  0.944   1  2009  321  23.19  55153.162   72.2  1.180e+01 
  15421  0.944   1  2009  321  23.81  55153.188   72.2  1.044e+01 
  15422  0.944   1  2009  322   0.32  55153.209   72.2  1.103e+01 
  15423  0.944   1  2009  322   0.82  55153.230   72.2  1.411e+01 
  15424  0.944   1  2009  322   1.33  55153.251   72.2  1.445e+01 
  15425  0.944   1  2009  322   1.98  55153.278   72.2  1.925e+01 
  15426  0.944   1  2009  322   2.49  55153.299   72.2  1.793e+01 
  15428  0.944   1  2009  322   3.15  55153.327   72.2  1.417e+01 
  15429  0.944   1  2009  322   3.66  55153.348   72.2  1.867e+01 
  15461  0.944   1  2009  322  19.92  55154.025   72.2  1.369e+01 
  15462  0.944   1  2009  322  20.42  55154.047   72.2  1.201e+01 
  15463  0.944   1  2009  322  20.93  55154.068   72.2  1.267e+01 
  15464  0.944   1  2009  322  21.44  55154.089   72.2  1.423e+01 
  15466  0.944   1  2009  322  22.08  55154.116   72.2  1.804e+01 
  15467  0.944   1  2009  322  22.59  55154.137   72.2  1.769e+01 
  15468  0.944   1  2009  322  23.21  55154.163   72.2  1.454e+01 
  15469  0.944   1  2009  322  23.72  55154.184   72.2  1.578e+01 
  15471  0.944   1  2009  323   0.56  55154.219   72.2  1.485e+01 
  15472  0.944   1  2009  323   1.06  55154.240   72.2  1.630e+01 
  15473  0.944   1  2009  323   1.75  55154.269   72.2  1.473e+01 
  15475  0.944   1  2009  323   2.87  55154.315   72.2  1.141e+01 
  15476  0.944   1  2009  323   3.38  55154.336   72.2  1.055e+01 
  15511  1.376   2  2009  323  20.79  55155.062   72.2  5.973e+00 
  15512  0.688   1  2009  323  21.34  55155.085   72.2  5.057e+00 
  15513  0.688   1  2009  323  21.71  55155.100   72.2  4.922e+00 
  15514  0.521   1  2009  323  22.24  55155.122   72.2  5.519e+00 
  15515  1.042   2  2009  323  22.66  55155.140   72.2  7.083e+00 
  15516  0.521   1  2009  323  23.07  55155.157   72.2  6.809e+00 
  15562  1.000   1  2009  324  22.23  55156.122   72.2  1.127e+01 
  15563  1.000   1  2009  324  22.76  55156.144   72.2  1.257e+01 
  15564  1.000   1  2009  324  23.29  55156.166   72.2  1.136e+01 
  15565  1.000   1  2009  324  23.81  55156.188   72.2  9.992e+00 
  15617  0.667   2  2009  326   1.87  55157.274   72.2  9.976e+00 
  15618  0.667   2  2009  326   2.24  55157.289   72.2  1.032e+01 
  15619  0.722   1  2009  326   2.96  55157.319   72.2  1.132e+01 
  15620  0.722   1  2009  326   3.37  55157.336   72.2  1.228e+01 
  15656  0.500   1  2009  326  21.13  55158.076   72.2  8.494e+00 
  15657  1.000   2  2009  326  21.82  55158.105   72.2  8.513e+00 
  15658  0.500   1  2009  326  22.24  55158.122   72.2  8.098e+00 
  15659  0.500   1  2009  326  22.51  55158.134   72.2  6.932e+00 
  15660  0.931   1  2009  326  23.27  55158.165   72.2  5.725e+00 
  15661  0.931   1  2009  326  23.77  55158.186   72.2  5.008e+00 
  15662  0.931   1  2009  327   0.27  55158.207   72.2  4.824e+00 
  15663  0.931   1  2009  327   0.76  55158.227   72.2  4.553e+00 
  15665  1.111   2  2009  327   1.84  55158.272   72.2  4.552e+00 
  15667  1.000   2  2009  327   2.69  55158.308   72.2  5.680e+00 
  15709  1.042   2  2009  327  23.84  55159.189   72.1  8.820e+00 
