   Source_name        RA        Dec RegType  Major  Minor Theta Color reg_qual expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7375 60256   900.0 74.237838 -68.559572 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007375.fits          7375     475.48           15         1035
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7375 60256   900.0 74.237838 -68.559572 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007375.fits          7375     538.27           16         1035
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7375 60256   900.0 74.237838 -68.559572 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007375.fits          7375     623.91           19         1035
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7376 60256   900.0 74.256599  -68.56051 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007376.fits          7376     499.70           15         1036
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7376 60256   900.0 74.256599  -68.56051 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007376.fits          7376     556.62           16         1036
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7376 60256   900.0 74.256599  -68.56051 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007376.fits          7376     620.49           19         1036
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7377 60256   900.0 74.241958 -68.563986 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007377.fits          7377     486.59           15         1037
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7377 60256   900.0 74.241958 -68.563986 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007377.fits          7377     533.65           16         1037
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7377 60256   900.0 74.241958 -68.563986 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007377.fits          7377     637.63           19         1037
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7378 60256   900.0 74.257921  -68.56432 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007378.fits          7378     506.40           15         1038
