Wave_air  LineID Component    Ampl
 9455.31  OH_6-2        OH  4.6961
 9458.57  OH_8-4        OH  8.8928
 9458.62  OH_6-2        OH  8.6882
 9476.75  OH_8-4        OH  9.7073
 9476.75  OH_8-4        OH  9.7073
 9478.52  OH_8-4        OH  6.1326
 9479.58  OH_3-0        OH  4.7091
 9497.91  OH_5-1        OH  1.7662
 9499.36  OH_4-0        OH  2.0225
 9499.99  OH_5-1        OH   2.611
 9500.72  OH_4-0        OH  2.6959
 9502.82  OH_8-4        OH  4.7258
 9519.18  OH_8-4        OH  4.7548
 9523.56  OH_8-4        OH  5.7477
 9525.39  OH_8-4        OH  5.0944
 9526.06  OH_3-0        OH   4.986
 9529.15  OH_7-3        OH   6.051
 9534.71  OH_7-3        OH  5.4506
 9551.77  OH_7-3        OH  4.6017
 9552.49  OH_8-4        OH  7.1497
  9567.1  OH_8-4        OH  6.0804
 9569.18  OH_6-2        OH  4.0309
  9572.3  OH_6-2        OH  6.6056
  9576.7  OH_8-4        OH  7.4885
 9577.98  OH_3-0        OH  5.3768
 9578.56  OH_8-4        OH  4.7484
 9607.62  OH_8-4        OH  6.9772
 9615.09  OH_8-4        OH  0.0179
 9620.63  OH_8-4        OH  7.4085
 9622.27  OH_7-3        OH  8.4066
 9627.43  OH_7-3        OH  6.0008
 9633.88  OH_5-1        OH  1.7982
 9635.58  OH_3-0        OH  3.5591
 9635.88  OH_5-1        OH  4.6514
 9636.45  OH_8-4        OH   6.318
 9638.33  OH_8-4        OH  5.9623
 9651.29  OH_4-0        OH  1.7707
 9651.62  OH_3-0        OH  2.0317
 9652.59  OH_4-0        OH  2.7434
 9653.04  OH_3-0        OH  3.1994
  9653.4  OH_3-0        OH   3.405
 9653.79  OH_3-0        OH  3.4194
 9654.52  OH_3-0        OH  3.0965
 9654.58  OH_7-3        OH  3.0583
  9655.7  OH_3-0        OH  2.4685
 9656.01  OH_7-3        OH  2.3187
 9659.18  OH_3-0        OH  2.2269
 9660.32  OH_3-0        OH  2.8779
 9660.53  OH_3-0        OH  2.7608
 9662.75  OH_3-0        OH  0.7753
 9668.33  OH_8-4        OH  8.8366
 9668.87  OH_3-0        OH  8.3104
 9670.86  OH_3-0        OH  2.2744
 9670.92  OH_3-0        OH  2.2798
 9674.31  OH_3-0        OH   0.659
 9679.96  OH_8-4        OH  7.6656
 9682.33  OH_3-0        OH  1.3886
 9685.62  OH_3-0        OH  2.1377
 9685.75  OH_3-0        OH  2.1053
  9690.2  OH_6-2        OH  4.2548
 9690.54  OH_3-0        OH   4.112
 9693.17  OH_6-2        OH  7.7411
 9699.05  OH_3-0        OH  0.6604
 9699.41  OH_3-0        OH  0.5462
 9703.11  OH_8-4        OH  4.1809
 9704.61  OH_3-0        OH  7.3763
 9704.89  OH_3-0        OH  6.9929
 9704.99  OH_8-4        OH   6.856
 9711.71  OH_3-0        OH  0.3921
 9719.78  OH_3-0        OH  0.4295
 9721.91  OH_7-3        OH  6.4756
 9726.73  OH_7-3        OH  6.6371
 9728.01  OH_3-0        OH  4.5769
  9728.4  OH_3-0        OH  5.2547
 9734.78  OH_8-4        OH  9.2585
 9738.06  OH_3-0        OH  0.2446
 9745.23  OH_8-4        OH  7.9526
 9755.89  OH_3-0        OH  1.7455
 9756.36  OH_3-0        OH   1.868
  9767.7  OH_7-3        OH  0.4261
 9768.66  OH_3-0        OH  0.2394
 9777.06  OH_8-4        OH  4.3632
 9777.94  OH_5-1        OH  6.7429
 9778.94  OH_8-4        OH  6.5932
 9779.86  OH_5-1        OH  4.4395
 9788.35  OH_3-0        OH   1.601
 9788.86  OH_3-0        OH  1.8183
 9789.28  OH_3-0        OH  1.6166
 9791.06  OH_3-0        OH  0.5215
  9796.3  OH_3-0        OH  0.0523
 9799.84  OH_3-0        OH  0.2533
 9802.01  OH_3-0        OH   0.248
 9803.65  OH_3-0        OH   0.248
