# NOTE: [SIII] wavelengths here (6312.06, 9069.00, 9531.10 air) are as returned
# by the DAP and are NOT the currently accepted values -- they do not match
# those used in Mappings or Cloudy. Do not treat them as authoritative without
# checking against current atomic data.
Arm  Ion          LineID       Wave_air   Wave_vac   DAP_name            
I    [FeII]       [FeII]       9051.92    9054.40    [FeII]_9051.92      
I    [SIII]       [SIII]       9069.00    9071.49    [SIII]_9069.0       
I    [ClII]       [ClII]       9123.60    9126.10    [ClII]_9123.6       
I    [FeII]       [FeII]       9226.60    9229.13    [FeII]_9226.6       
I    HI           HI           9229.02    9231.55    HI_9229.02          
I    OI           OI           9266.00    9268.54    OI_9266.0           
I    [FeII]       [FeII]       9267.54    9270.08    [FeII]_9267.54      
I    [FeII]       [FeII]       9399.02    9401.60    [FeII]_9399.02      
I    [FeII]       [FeII]       9470.93    9473.53    [FeII]_9470.93      
I    [SIII]       [SIII]       9531.10    9533.71    [SIII]_9531.1       
I    HI           HI           9545.97    9548.59    HI_9545.97          
I    [FeII]       [FeII]       9682.13    9684.79    [FeII]_9682.13      
