Source_name Other_name        RA        Dec RegType   Major   Minor Theta expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4803 60201   900.0 12.745423 -72.711613 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004803.fits          4803     646.85            7          529
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4804 60201   900.0 12.734315 -72.713642 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004804.fits          4804     660.80            7          530
 J0046-7308     HPF414 11.669167   -73.1375 ellipse 11.5625    8.75  35.0   5027 60203   900.0 11.985233 -73.060821 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005027.fits          5027     430.84            1          580
 J0047-7308       IKT2 11.819167 -73.143333 ellipse   6.875    6.25  45.0   5027 60203   900.0 11.985233 -73.060821 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005027.fits          5027     344.14            2          580
 J0047-7309         -- 11.902083 -73.155556 ellipse   11.25     7.5  75.0   5027 60203   900.0 11.985233 -73.060821 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005027.fits          5027     351.96            3          580
 J0047-7314       IKT5 12.282083   -73.2375  circle  11.875  11.875   0.0   5027 60203   900.0 11.985233 -73.060821 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005027.fits          5027     707.47            5          580
 J0046-7308     HPF414 11.669167   -73.1375 ellipse 11.5625    8.75  35.0   5028 60203   900.0   12.0088  -73.07117 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005028.fits          5028     428.12            1          581
 J0047-7308       IKT2 11.819167 -73.143333 ellipse   6.875    6.25  45.0   5028 60203   900.0   12.0088  -73.07117 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005028.fits          5028     326.87            2          581
 J0047-7309         -- 11.902083 -73.155556 ellipse   11.25     7.5  75.0   5028 60203   900.0   12.0088  -73.07117 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005028.fits          5028     323.64            3          581
 J0047-7314       IKT5 12.282083   -73.2375  circle  11.875  11.875   0.0   5028 60203   900.0   12.0088  -73.07117 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005028.fits          5028     663.20            5          581
 J0046-7308     HPF414 11.669167   -73.1375 ellipse 11.5625    8.75  35.0   5029 60203   900.0 11.992476 -73.071811 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005029.fits          5029     412.73            1          582
 J0047-7308       IKT2 11.819167 -73.143333 ellipse   6.875    6.25  45.0   5029 60203   900.0 11.992476 -73.071811 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005029.fits          5029     314.90            2          582
 J0047-7309         -- 11.902083 -73.155556 ellipse   11.25     7.5  75.0   5029 60203   900.0 11.992476 -73.071811 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005029.fits          5029     315.95            3          582
 J0047-7314       IKT5 12.282083   -73.2375  circle  11.875  11.875   0.0   5029 60203   900.0 11.992476 -73.071811 1000555 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000555/60203/lvmSFrame-00005029.fits          5029     668.63            5          582
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   5089 60204   900.0 15.177712 -71.514162   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60204/lvmSFrame-00005089.fits          5089     191.94           10          588
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   5090 60204   900.0 15.180384 -71.516249   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60204/lvmSFrame-00005090.fits          5090     186.79           10          589
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   5091 60204   900.0 15.183307 -71.516648   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60204/lvmSFrame-00005091.fits          5091     187.22           10          590
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   5206 60206   900.0 15.200536 -71.512231   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60206/lvmSFrame-00005206.fits          5206     211.10           10          595
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   5207 60206   900.0  15.19548 -71.512231   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60206/lvmSFrame-00005207.fits          5207     208.02           10          596
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   5208 60206   900.0 15.197511 -71.512183   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60206/lvmSFrame-00005208.fits          5208     209.39           10          597
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   7551 60259   900.0 17.072996  -71.99348   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60259/lvmSFrame-00007551.fits          7551     660.18           17         1070
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   7552 60259   900.0 17.073212 -71.991964   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60259/lvmSFrame-00007552.fits          7552     663.37           17         1071
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0  20607 60494   900.0 13.263855 -72.483456 1028309 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028309/60494/lvmSFrame-00020607.fits         20607     466.81            7         4942
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0  20608 60494   900.0 13.269524 -72.487661 1028309 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028309/60494/lvmSFrame-00020608.fits         20608     451.93            7         4943
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0  20609 60494   900.0 13.246179 -72.486352 1028309 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028309/60494/lvmSFrame-00020609.fits         20609     456.15            7         4944
 J0051-7321       IKT6 12.777917 -73.357222  circle  9.0625  9.0625   0.0  20792 60496   900.0 13.209187 -73.214476 1028292 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028292/60496/lvmSFrame-00020792.fits         20792     680.77            6         4963
 J0051-7321       IKT6 12.777917 -73.357222  circle  9.0625  9.0625   0.0  20794 60496   900.0 13.205956 -73.218464 1028292 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028292/60496/lvmSFrame-00020794.fits         20794     667.74            6         4964
 J0051-7321       IKT6 12.777917 -73.357222  circle  9.0625  9.0625   0.0  20795 60496   900.0 13.173593 -73.216302 1028292 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028292/60496/lvmSFrame-00020795.fits         20795     652.05            6         4965
 J0051-7321       IKT6 12.777917 -73.357222  circle  9.0625  9.0625   0.0  20796 60496   900.0 13.181982 -73.207284 1028292 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028292/60496/lvmSFrame-00020796.fits         20796     682.97            6         4966
 J0051-7321       IKT6 12.777917 -73.357222  circle  9.0625  9.0625   0.0  20797 60496   900.0 13.145967  -73.21174 1028292 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028292/60496/lvmSFrame-00020797.fits         20797     647.71            6         4967
