# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of NI0520a (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d           I 
  15764  0.900   2  2009  329   3.34  55160.335   72.0   1.046e+00 
  16229  1.000   1  2009  338  19.97  55170.028   72.6   1.809e+00 
  16230  1.000   1  2009  338  20.49  55170.049   72.6   1.196e+00 
  16232  1.000   1  2009  338  21.35  55170.085   72.6   7.813e-01 
  16278  0.833   1  2009  339  20.38  55171.045   72.8   8.602e-01 
  16279  0.833   1  2009  339  20.81  55171.063   72.8   4.852e-01 
  16280  0.361   1  2009  339  21.45  55171.089   72.8   1.256e-01 
  16281  0.722   2  2009  339  21.78  55171.103   72.8   3.511e-01 
  16282  0.361   1  2009  339  22.10  55171.116   72.8   1.083e-01 
  16329  1.000   1  2009  340  21.76  55172.102   73.0   2.841e-01 
  16330  1.000   1  2009  340  22.29  55172.124   73.0   1.334e-01 
  16470  0.833   1  2009  343  20.14  55175.035   73.8   1.734e+00 
  16471  0.833   1  2009  343  20.58  55175.053   73.8   1.143e+00 
  16566  0.361   1  2009  345  20.40  55177.046   74.0   2.110e+00 
  16567  0.722   2  2009  345  20.72  55177.059   74.0   1.579e+00 
  16568  0.361   1  2009  345  21.05  55177.073   74.0   1.185e+00 
  16710  0.833   1  2009  348  20.16  55180.035   74.4   1.911e+00 
  16711  0.833   1  2009  348  20.59  55180.053   74.4   1.135e+00 
  16771  0.333   2  2009  350   2.60  55181.304   74.5   1.074e+00 
  16772  0.333   2  2009  350   3.17  55181.328   74.5   5.393e-01 
  16806  0.367   3  2009  350  20.37  55182.044   74.6   1.411e+00 
  16807  0.489   4  2009  350  20.74  55182.060   74.6   8.116e-01 
  16854  1.000   3  2009  351  20.22  55183.038   74.8   1.400e+00 
  16855  0.333   1  2009  351  20.60  55183.054   74.8   7.530e-01 
  16856  1.000   3  2009  351  21.21  55183.079   74.8   3.672e-01 
  16857  0.333   1  2009  351  21.59  55183.095   74.8   2.909e-01 
  16858  0.667   2  2009  351  22.39  55183.128   74.8   7.258e-02 
  16859  0.667   2  2009  351  22.77  55183.144   74.9   2.637e-01 
  16860  0.667   2  2009  351  23.36  55183.169   74.9   2.692e-01 
  16861  0.667   2  2009  351  23.74  55183.185   74.9   4.206e-01 
  16862  0.667   2  2009  352   0.38  55183.212   74.9   7.464e-01 
  16863  0.667   2  2009  352   0.77  55183.228   74.9   8.224e-01 
  16902  1.000   3  2009  352  20.27  55184.040   75.1   1.426e+00 
  16903  0.333   1  2009  352  20.65  55184.056   75.1   9.489e-01 
  16904  1.000   3  2009  352  21.26  55184.081   75.1   5.674e-01 
  16905  0.333   1  2009  352  21.65  55184.097   75.1   4.136e-01 
  16906  0.333   1  2009  352  22.34  55184.126   75.1   4.883e-02 
  16907  1.000   3  2009  352  22.72  55184.142   75.1   1.067e-01 
  16908  0.667   2  2009  352  23.38  55184.170   75.1   1.130e-01 
  16909  0.667   2  2009  352  23.76  55184.186   75.1   1.325e-01 
  16910  0.667   2  2009  353   0.36  55184.211   75.1   1.384e-01 
  16911  0.667   2  2009  353   0.75  55184.227   75.1   1.650e-01 
  16912  0.333   1  2009  353   1.43  55184.255   75.1   2.149e-01 
  16913  0.333   1  2009  353   1.63  55184.263   75.1   2.304e-01 
  16916  0.333   2  2009  353   3.32  55184.334   75.1   1.416e+00 
  17048  0.500   1  2009  355  21.45  55187.089   75.6   1.394e+00 
  17050  1.000   2  2009  355  22.20  55187.121   75.6   4.238e-01 
  17051  1.000   2  2009  355  22.82  55187.146   75.6   4.075e-01 
  17052  0.500   1  2009  355  23.23  55187.163   75.6   1.835e-01 
  17055  1.333   2  2009  356   0.70  55187.225   75.6   3.650e-01 
  17056  0.667   1  2009  356   1.27  55187.249   75.6   4.865e-01 
  17057  0.667   1  2009  356   1.65  55187.264   75.6   4.927e-01 
  17058  0.667   1  2009  356   2.03  55187.280   75.6   4.908e-01 
  17059  0.667   1  2009  356   2.72  55187.309   75.6   2.913e-01 
  17060  1.333   2  2009  356   3.26  55187.331   75.6   1.720e-01 
  17061  0.667   1  2009  356   3.80  55187.354   75.6   1.921e-01 
  17097  0.750   3  2009  356  21.71  55188.100   75.6   3.621e-01 
  17098  0.500   2  2009  356  22.18  55188.120   75.6   2.024e-01 
  17099  1.000   2  2009  356  22.85  55188.148   75.6   1.123e-01 
  17100  0.500   1  2009  356  23.26  55188.165   75.6   2.211e-02 
  17101  0.500   1  2009  356  23.54  55188.176   75.6   6.328e-02 
  17105  0.400   1  2009  357   1.96  55188.277   75.6   1.096e-01 
  17106  0.333   1  2009  357   2.32  55188.292   75.6   5.348e-01 
  17107  1.000   2  2009  357   2.78  55188.311   75.6   5.262e-01 
  17108  0.667   1  2009  357   3.27  55188.332   75.6   6.795e-01 
  17109  1.333   2  2009  357   3.81  55188.354   75.6   7.676e-01 
  17143  0.500   1  2009  357  20.78  55189.061   75.7   9.399e-01 
  17144  1.000   2  2009  357  21.20  55189.079   75.7   5.348e-01 
  17145  1.000   2  2009  357  21.80  55189.104   75.7   4.224e-01 
  17146  0.500   1  2009  357  22.27  55189.124   75.7   2.152e-01 
  17147  1.000   2  2009  357  22.68  55189.141   75.7   2.945e-01 
  17148  1.000   2  2009  357  23.35  55189.169   75.7   3.218e-01 
  17149  0.500   1  2009  357  23.76  55189.186   75.7   4.193e-01 
  17150  0.500   1  2009  358   0.04  55189.197   75.7   3.808e-01 
  17152  1.000   2  2009  358   1.25  55189.248   75.8   4.704e-01 
  17153  1.000   2  2009  358   1.80  55189.271   75.8   3.809e-01 
  17154  1.000   2  2009  358   2.35  55189.294   75.8   4.202e-01 
  17155  0.333   1  2009  358   2.82  55189.313   75.8   5.062e-01 
  17156  1.000   2  2009  358   3.26  55189.331   75.8   4.371e-01 
  17157  0.667   1  2009  358   3.74  55189.351   75.8   4.297e-01 
  17200  1.500   1  2009  359   1.10  55190.241   75.9   1.852e-01 
  17204  0.650   3  2009  359   3.32  55190.334   75.9   6.285e-01 
  17205  0.561   2  2009  359   3.69  55190.349   75.9   4.424e-01 
  17722  1.083   3  2010    4  22.27  55201.123   77.6   3.090e-01 
  17723  0.361   1  2010    4  22.70  55201.141   77.6   2.169e-01 
  17768  0.400   2  2010    5  21.33  55202.084   77.7   1.406e+00 
  17911  0.722   2  2010    8  20.70  55205.058   78.3   3.757e+00 
  18054  0.722   2  2010   11  20.23  55208.038   79.1   2.514e+00 
  18055  0.361   1  2010   11  20.55  55208.052   79.1   1.552e+00 
  18107  1.000   1  2010   12  22.71  55209.142   79.3   1.638e-01 
  18108  1.000   1  2010   12  23.24  55209.164   79.3   1.504e-01 
  18109  1.000   1  2010   12  23.94  55209.193   79.3   2.265e-01 
  18110  1.000   1  2010   13   0.47  55209.215   79.3   3.712e-01 
  18112  1.000   1  2010   13   1.29  55209.249   79.3   3.299e-01 
  18113  1.000   1  2010   13   1.82  55209.271   79.3   3.374e-01 
  18163  1.000   1  2010   14   2.69  55210.308   79.4   6.761e-01 
  18164  1.000   1  2010   14   3.22  55210.330   79.4   6.954e-01 
  18253  2.000   1  2010   15  23.94  55212.193   79.3   1.111e-01 
  18255  1.000   1  2010   16   0.97  55212.236   79.3   2.281e-01 
  18256  1.000   1  2010   16   1.50  55212.258   79.3   3.934e-01 
  18258  1.000   1  2010   16   2.31  55212.292   79.3   7.778e-01 
  18259  1.000   1  2010   16   2.83  55212.314   79.3   1.166e+00 
  18294  0.333   2  2010   16  20.22  55213.038   79.2   8.149e-01 
  18297  0.333   1  2010   16  21.94  55213.110   79.2   4.554e-01 
  18298  0.667   2  2010   16  22.23  55213.122   79.2   3.649e-01 
  18299  0.333   1  2010   16  22.88  55213.149   79.2   1.405e-01 
  18300  0.667   2  2010   16  23.17  55213.161   79.2   1.577e-01 
  18301  0.333   1  2010   16  23.93  55213.193   79.2   2.230e-01 
  18302  0.667   2  2010   17   0.22  55213.205   79.2   6.783e-02 
  18304  1.000   1  2010   17   1.11  55213.242   79.2   2.650e-01 
  18305  1.000   1  2010   17   1.63  55213.264   79.2   2.896e-01 
  18306  1.000   1  2010   17   2.37  55213.294   79.2   5.349e-01 
  18307  1.000   1  2010   17   2.90  55213.316   79.2   4.185e-01 
  18349  0.400   2  2010   17  23.58  55214.178   79.2   2.736e-01 
  18350  0.583   2  2010   18   0.09  55214.199   79.2   1.469e-01 
  18352  0.700   3  2010   18   1.19  55214.245   79.2   2.141e-01 
  18354  0.600   2  2010   18   2.27  55214.290   79.2   4.022e-01 
  18355  0.600   2  2010   18   2.61  55214.304   79.2   6.214e-01 
  18357  0.883   3  2010   18   3.71  55214.350   79.2   1.304e+00 
  18393  0.500   2  2010   18  21.92  55215.109   79.3   7.490e-01 
  18401  0.556   4  2010   19   1.81  55215.271   79.3   6.053e-01 
  18402  0.428   2  2010   19   2.28  55215.291   79.3   4.663e-01 
  18403  0.339   2  2010   19   2.71  55215.308   79.3   7.533e-01 
  18404  0.378   3  2010   19   3.20  55215.329   79.3   9.312e-01 
  18439  0.494   2  2010   19  20.66  55216.056   79.2   3.414e+00 
  18440  0.833   1  2010   19  21.46  55216.090   79.2   1.390e+00 
  18442  0.556   2  2010   19  22.36  55216.127   79.2   8.081e-01 
  18448  0.444   1  2010   20   1.46  55216.257   79.2   8.926e-01 
  18449  0.444   1  2010   20   1.71  55216.267   79.2   8.636e-01 
  18452  0.389   1  2010   20   3.04  55216.322   79.2   7.116e-01 
  18453  0.533   4  2010   20   3.74  55216.352   79.2   7.291e-01 
  18487  0.981   1  2010   20  20.59  55217.053   79.1   1.664e+00 
  18488  0.981   1  2010   20  21.13  55217.076   79.1   9.431e-01 
  18490  0.981   1  2010   20  22.04  55217.114   79.1   1.631e-01 
  18491  0.981   1  2010   20  22.56  55217.135   79.1   1.479e-01 
  18492  0.869   1  2010   20  23.26  55217.165   79.1   1.140e-01 
  18493  0.869   1  2010   20  23.72  55217.184   79.1   3.189e-01 
  18494  0.869   1  2010   21   0.19  55217.203   79.1   3.294e-01 
  18495  0.869   1  2010   21   0.65  55217.223   79.1   2.371e-01 
  18496  0.981   1  2010   21   1.36  55217.252   79.1   3.240e-01 
  18497  0.981   1  2010   21   1.88  55217.274   79.1   3.353e-01 
  18498  0.981   1  2010   21   2.39  55217.295   79.1   2.755e-01 
  18499  0.981   1  2010   21   2.91  55217.317   79.1   1.356e-01 
  18500  0.647   1  2010   21   3.42  55217.338   79.1   2.018e-01 
  18501  0.647   1  2010   21   3.77  55217.353   79.1   2.110e-01 
  18541  0.900   1  2010   21  23.58  55218.178   79.0   6.934e-02 
  18542  0.900   1  2010   22   0.06  55218.198   79.0   1.253e-01 
  18543  0.444   1  2010   22   0.83  55218.230   79.0   3.324e-02 
  18544  0.889   2  2010   22   1.22  55218.246   79.0   1.144e-01 
  18545  0.889   2  2010   22   1.73  55218.268   79.0   1.866e-01 
  18546  0.889   2  2010   22   2.25  55218.289   79.0   7.451e-02 
  18547  0.444   1  2010   22   2.63  55218.305   79.0   1.582e-01 
  18548  0.889   2  2010   22   3.26  55218.331   79.0   1.836e-01 
  18549  0.889   2  2010   22   3.77  55218.353   79.0   4.915e-01 
  18550  0.889   2  2010   22   4.29  55218.374   79.0   4.897e-01 
  18587  0.444   1  2010   22  22.79  55219.145   78.9   5.992e-02 
  18588  0.889   2  2010   22  23.17  55219.161   78.9   6.170e-02 
  18589  0.889   2  2010   22  23.69  55219.183   78.9   2.238e-02 
  18590  0.889   2  2010   23   0.20  55219.204   78.9   1.009e-01 
  18591  0.444   1  2010   23   0.59  55219.220   78.9   2.855e-02 
  18592  1.661   1  2010   23   1.45  55219.256   78.9   5.530e-01 
  18594  1.661   1  2010   23   2.33  55219.292   78.9   8.841e-01 
  18596  0.889   2  2010   23   3.29  55219.333   78.9   1.040e+00 
  18597  0.889   2  2010   23   3.80  55219.354   78.9   8.620e-01 
  18598  0.444   1  2010   23   4.19  55219.370   78.9   6.931e-01 
  18634  1.994   1  2010   23  22.16  55220.119   78.8   1.610e-01 
  18636  1.994   1  2010   23  23.29  55220.166   78.9   7.966e-02 
  18638  1.994   1  2010   24   0.33  55220.209   78.9   1.457e-01 
  18640  1.994   1  2010   24   1.46  55220.256   78.9   2.164e-01 
