# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter NIR-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter NIR-arm spectra
# upix: upper pixel of bin in X-shooter NIR-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng    rdelp    rdp        mfs       mdfs   rdels    rds 
 1.03609    693    709  6869   1.033e+01  1.064e+01  3.488e+00  4.638e+00  6.965e-01    0.030  0.480  2.430e+01  1.285e+01   1.352  1.227 
 1.03712    710    727  6873   7.952e+02  8.155e+02  2.290e+02  4.568e+00  9.944e-01    0.026  1.072  9.548e+02  2.481e+02   0.201  0.963 
 1.03816    728    744  6868   1.411e+01  1.365e+01  4.262e+00  4.584e+00  7.486e-01   -0.033  0.607  2.523e+01  1.278e+01   0.788  1.284 
 1.03920    745    761  6867   2.712e+02  2.343e+02  6.594e+01  4.601e+00  9.807e-01   -0.136  0.768  2.763e+02  7.542e+01   0.019  0.792 
 1.04024    762    778  6870   7.416e+01  1.218e+02  3.460e+01  4.576e+00  9.638e-01    0.642  1.045  1.426e+02  4.209e+01   0.924  1.087 
 1.04128    779    796  6867   3.921e+02  3.397e+02  9.581e+01  4.605e+00  9.866e-01   -0.134  0.718  3.639e+02  9.744e+01  -0.072  0.672 
 1.04232    797    813  6873   5.535e+02  6.403e+02  1.799e+02  4.576e+00  9.929e-01    0.157  1.046  7.135e+02  1.866e+02   0.289  0.921 
 1.04336    814    831  6869   2.642e+01  3.093e+01  9.268e+00  4.575e+00  8.711e-01    0.171  1.162  3.196e+01  1.341e+01   0.210  1.214 
 1.04440    832    848  6861   2.651e+01  3.402e+01  9.900e+00  4.594e+00  8.810e-01    0.283  0.642  3.481e+01  1.463e+01   0.313  0.919 
 1.04545    849    865  6871   2.442e+02  2.448e+02  6.913e+01  4.523e+00  9.819e-01    0.003  0.906  3.004e+02  8.067e+01   0.230  0.917 
 1.04649    866    883  6872   5.626e+02  5.430e+02  1.527e+02  4.509e+00  9.918e-01   -0.035  0.900  6.519e+02  1.700e+02   0.159  0.867 
 1.04754    884    900  6865   2.369e+01  6.045e+01  1.736e+01  4.548e+00  9.300e-01    1.552  0.847  4.742e+01  1.771e+01   1.005  0.909 
 1.04859    901    918  6870   2.625e+01  3.111e+01  9.185e+00  4.569e+00  8.719e-01    0.185  1.129  2.480e+01  1.191e+01  -0.055  0.990 
 1.04964    919    935  6867   1.919e+01  2.187e+01  6.837e+00  4.554e+00  8.277e-01    0.140  1.095  2.588e+01  1.181e+01   0.349  1.231 
 1.05069    936    953  6871   1.614e+02  1.680e+02  5.526e+01  4.551e+00  9.736e-01    0.041  1.094  1.704e+02  4.772e+01   0.056  0.842 
 1.05174    954    970  6869   3.261e+01  3.477e+01  1.008e+01  4.537e+00  8.846e-01    0.066  1.131  2.378e+01  1.148e+01  -0.270  0.902 
 1.05279    971    988  6872   2.871e+02  2.948e+02  9.935e+01  4.534e+00  9.849e-01    0.027  1.073  3.335e+02  8.889e+01   0.162  0.842 
 1.05384    989   1005  6872   1.064e+01  9.737e+00  3.249e+00  4.505e+00  6.837e-01   -0.085  0.586  2.297e+01  1.118e+01   1.160  1.237 
 1.05490   1006   1023  6870   1.897e+01  1.714e+01  5.325e+00  4.535e+00  7.908e-01   -0.097  0.781  2.260e+01  1.103e+01   0.191  1.104 
 1.05595   1024   1040  6872   1.087e+01  9.667e+00  3.231e+00  4.528e+00  6.810e-01   -0.110  0.570  2.222e+01  1.088e+01   1.045  1.232 
 1.05701   1041   1058  6866   7.106e+01  7.159e+01  2.392e+01  4.521e+00  9.406e-01    0.007  1.012  7.901e+01  2.467e+01   0.112  0.943 
 1.05806   1059   1076  6869   8.101e+01  7.899e+01  2.655e+01  4.451e+00  9.467e-01   -0.025  0.918  9.306e+01  2.802e+01   0.149  0.891 
 1.05912   1077   1093  6869   6.618e+01  6.788e+01  2.182e+01  4.392e+00  9.392e-01    0.026  0.989  6.436e+01  2.092e+01  -0.027  0.847 
 1.06018   1094   1111  6872   2.707e+01  2.674e+01  7.628e+00  4.436e+00  8.577e-01   -0.012  1.000  2.123e+01  1.028e+01  -0.216  1.042 
 1.06124   1112   1129  6869   1.790e+01  1.518e+01  4.606e+00  4.420e+00  7.744e-01   -0.152  0.747  2.034e+01  1.013e+01   0.137  1.180 
 1.06230   1130   1146  6869   1.614e+01  1.525e+01  4.818e+00  4.459e+00  7.737e-01   -0.056  0.777  2.020e+01  1.005e+01   0.252  1.162 
 1.06336   1147   1164  6867   1.112e+01  1.114e+01  3.591e+00  4.413e+00  7.162e-01    0.002  0.680  2.060e+01  1.016e+01   0.853  1.264 
 1.06443   1165   1182  6865   3.384e+01  3.552e+01  1.178e+01  4.466e+00  8.883e-01    0.050  1.053  3.813e+01  1.364e+01   0.127  1.061 
 1.06549   1183   1200  6863   4.787e+01  4.893e+01  1.647e+01  4.445e+00  9.167e-01    0.022  1.010  5.269e+01  1.727e+01   0.101  0.950 
 1.06656   1201   1217  6867   1.442e+01  1.431e+01  4.495e+00  4.345e+00  7.670e-01   -0.008  0.758  2.181e+01  1.049e+01   0.512  1.169 
 1.06762   1218   1235  6863   1.604e+01  1.274e+01  4.310e+00  4.439e+00  7.417e-01   -0.206  0.696  2.221e+01  1.060e+01   0.385  1.185 
 1.06869   1236   1253  6870   1.346e+02  1.453e+02  4.341e+01  4.267e+00  9.715e-01    0.079  1.136  8.235e+01  2.285e+01  -0.388  0.533 
 1.06976   1254   1271  6870   1.679e+02  1.737e+02  5.587e+01  4.286e+00  9.759e-01    0.034  1.069  1.623e+02  4.461e+01  -0.033  0.775 
 1.07083   1272   1289  6871   3.190e+02  3.342e+02  1.110e+02  4.424e+00  9.869e-01    0.048  1.135  3.570e+02  9.442e+01   0.119  0.851 
 1.07190   1290   1306  6872   1.838e+02  1.853e+02  5.931e+01  4.437e+00  9.766e-01    0.008  1.091  1.711e+02  4.716e+01  -0.069  0.781 
 1.07297   1307   1324  6873   5.067e+02  5.282e+02  1.484e+02  4.343e+00  9.918e-01    0.042  1.027  5.870e+02  1.531e+02   0.159  0.913 
 1.07405   1325   1342  6873   2.315e+02  2.370e+02  6.631e+01  4.432e+00  9.816e-01    0.024  0.993  2.512e+02  6.826e+01   0.085  0.908 
 1.07512   1343   1360  6873   6.118e+02  6.319e+02  1.782e+02  4.339e+00  9.932e-01    0.033  1.092  6.950e+02  1.810e+02   0.136  0.942 
 1.07620   1361   1378  6871   3.080e+01  2.477e+01  6.895e+00  4.454e+00  8.476e-01   -0.196  1.099  2.583e+01  1.164e+01  -0.161  1.177 
 1.07727   1379   1396  6873   2.180e+02  2.270e+02  6.398e+01  4.426e+00  9.809e-01    0.041  1.048  2.545e+02  6.870e+01   0.167  0.976 
 1.07835   1397   1414  6861   1.683e+01  1.293e+01  4.191e+00  4.384e+00  7.468e-01   -0.231  0.917  2.668e+01  1.188e+01   0.585  1.262 
 1.07943   1415   1432  6871   3.506e+01  3.758e+01  1.049e+01  4.381e+00  8.956e-01    0.072  1.422  2.777e+01  1.197e+01  -0.208  1.143 
 1.08051   1433   1450  6869   2.936e+01  2.964e+01  8.557e+00  4.413e+00  8.704e-01    0.010  1.379  2.857e+01  1.210e+01  -0.027  1.212 
 1.08159   1451   1468  6863   1.891e+01  1.573e+01  4.769e+00  4.289e+00  7.857e-01   -0.168  1.053  2.787e+01  1.219e+01   0.474  1.282 
 1.08267   1469   1486  6873   1.544e+03  1.648e+03  4.619e+02  4.247e+00  9.974e-01    0.067  1.118  1.793e+03  4.592e+02   0.161  0.928 
 1.08375   1487   1504  6871   7.802e+02  8.233e+02  2.310e+02  4.339e+00  9.948e-01    0.055  1.038  7.975e+02  2.058e+02   0.022  0.809 
 1.08484   1505   1522  6857   5.498e+01  8.212e+01  2.340e+01  4.391e+00  9.492e-01    0.494  0.942  8.397e+01  2.559e+01   0.529  0.915 
 1.08592   1523   1540  6873   1.868e+02  1.949e+02  5.510e+01  4.343e+00  9.782e-01    0.043  1.048  2.355e+02  6.331e+01   0.261  1.031 
 1.08701   1541   1558  6871   3.622e+01  3.772e+01  1.166e+01  4.208e+00  8.996e-01    0.041  1.227  3.828e+01  1.382e+01   0.057  1.182 
 1.08809   1559   1576  6873   6.993e+01  7.639e+01  2.337e+01  4.345e+00  9.462e-01    0.092  1.324  8.238e+01  2.489e+01   0.178  1.203 
 1.08918   1577   1595  6873   3.509e+02  3.513e+02  9.887e+01  4.286e+00  9.879e-01    0.001  1.023  3.786e+02  9.953e+01   0.079  0.898 
 1.09027   1596   1613  6872   2.293e+01  3.048e+01  9.711e+00  4.325e+00  8.757e-01    0.329  1.094  3.705e+01  1.329e+01   0.617  1.322 
 1.09136   1614   1631  6867   1.143e+01  1.084e+01  3.391e+00  4.370e+00  7.127e-01   -0.052  0.855  2.397e+01  1.036e+01   1.096  1.261 
 1.09245   1632   1649  6873   1.181e+03  1.215e+03  3.403e+02  4.218e+00  9.965e-01    0.029  1.132  1.239e+03  3.187e+02   0.049  0.899 
 1.09354   1650   1667  6860   1.158e+01  1.008e+01  3.375e+00  4.108e+00  7.105e-01   -0.129  0.780  2.531e+01  1.008e+01   1.186  1.204 
 1.09464   1668   1686  6873   4.431e+02  4.583e+02  1.287e+02  4.036e+00  9.913e-01    0.034  1.007  4.692e+02  1.226e+02   0.059  0.840 
 1.09573   1687   1704  6870   1.459e+01  1.007e+01  3.258e+00  4.124e+00  7.094e-01   -0.310  0.706  2.155e+01  9.221e+00   0.477  1.161 
 1.09683   1705   1722  6873   1.313e+03  1.319e+03  3.693e+02  4.202e+00  9.968e-01    0.005  1.046  1.351e+03  3.461e+02   0.029  0.847 
 1.09793   1723   1740  6846   7.138e+01  9.713e+01  2.720e+01  4.112e+00  9.594e-01    0.361  0.789  2.539e+01  9.977e+00  -0.643  0.285 
 1.09902   1741   1759  6863   9.539e+00  1.025e+01  3.265e+00  4.073e+00  7.155e-01    0.074  0.916  1.975e+01  8.452e+00   1.070  1.148 
 1.10012   1760   1777  6869   2.751e+02  2.542e+02  7.169e+01  4.198e+00  9.838e-01   -0.076  0.805  2.602e+02  6.926e+01  -0.054  0.706 
 1.10122   1778   1795  6867   1.160e+02  1.461e+02  4.127e+01  4.124e+00  9.726e-01    0.260  0.880  1.482e+02  4.073e+01   0.278  0.799 
 1.10232   1796   1814  6873   8.536e+02  8.692e+02  2.439e+02  4.002e+00  9.954e-01    0.018  0.996  8.718e+02  2.246e+02   0.021  0.801 
 1.10343   1815   1832  6852   2.333e+01  2.783e+01  7.846e+00  4.161e+00  8.699e-01    0.193  0.789  1.848e+01  8.156e+00  -0.202  0.999 
 1.10453   1833   1851  6871   2.160e+01  2.056e+01  6.088e+00  4.103e+00  8.336e-01   -0.048  1.156  1.816e+01  8.248e+00  -0.159  1.058 
 1.10563   1852   1869  6871   3.398e+01  3.392e+01  9.615e+00  3.984e+00  8.949e-01   -0.002  1.317  1.749e+01  8.172e+00  -0.485  0.778 
 1.10674   1870   1887  6871   2.389e+02  2.489e+02  8.209e+01  4.127e+00  9.837e-01    0.042  1.124  2.235e+02  6.047e+01  -0.064  0.740 
 1.10785   1888   1906  6873   3.218e+01  3.038e+01  8.936e+00  3.943e+00  8.851e-01   -0.056  1.154  1.713e+01  8.445e+00  -0.468  0.778 
 1.10895   1907   1924  6872   4.766e+02  4.852e+02  1.636e+02  4.042e+00  9.917e-01    0.018  1.119  4.717e+02  1.233e+02  -0.010  0.745 
 1.11006   1925   1943  6863   1.075e+01  1.040e+01  3.266e+00  3.915e+00  7.266e-01   -0.032  0.930  1.672e+01  8.692e+00   0.554  1.321 
 1.11117   1944   1961  6865   9.463e+00  9.466e+00  3.025e+00  3.820e+00  7.125e-01    0.000  0.847  1.627e+01  8.692e+00   0.720  1.313 
 1.11228   1962   1980  6874   1.809e+01  1.848e+01  5.605e+00  3.774e+00  8.304e-01    0.022  1.137  1.609e+01  8.815e+00  -0.110  1.173 
 1.11340   1981   1998  6867   1.047e+02  1.062e+02  3.578e+01  3.375e+00  9.692e-01    0.015  1.047  9.967e+01  2.926e+01  -0.048  0.777 
