# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# List of lines/multiplets/features with measured X-shooter/UVES time series
# that were used for the derivation of the PALACE reference climatologies
# (includes results from noll+19, noll+23, and noll+24)
# 
# Column names:
# feat: label of line/multiplet/feature
# lam: central vacuum wavelength in µm (source: HITRAN2020 for molecules,
#      NIST for atoms, or noll+24 for continuum features)
# dlam: distance from lam to lower und upper wavelength limit in µm
#       (multiplet: defined by distribution of component wavelengths,
#       continuum feature: defined by integration range)
# Nlin: number of components (99 for continuum feature)
# I: reference intensity from climatology in R
# class: label of variability class
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# NIST: https://physics.nist.gov/asd
# noll+19: https://doi.org/10.1029/2018JD030044 (only KI0770)
# noll+23: https://doi.org/10.1029/2022JD038275 (OH at > 1.005 µm)
# noll+24: https://doi.org/10.5194/acp-24-1143-2024 (continuum features)
# 
      feat       lam      dlam  Nlin           I  class 
  OH84Q202  0.938549  0.000016     2   1.378e+01   OH9a 
  OH84Q103  0.940466  0.000024     2   5.916e+01   OH9a 
  OH84P201  0.942232  0.000006     2   1.015e+02   OH9a 
  OH84P101  0.944224  0.000005     2   3.242e+02   OH9a 
  OH84P202  0.946113  0.000004     2   1.425e+02   OH9a 
  OH84P102  0.947946  0.000011     2   3.934e+02   OH9a 
  OH84P203  0.950542  0.000000     2   1.245e+02   OH9a 
  OH84P204  0.955515  0.000004     2   8.603e+01   OH9b 
  OH84P104  0.956997  0.000025     2   1.888e+02   OH9b 
  OH84P205  0.961036  0.000010     2   5.145e+01   OH9b 
  OH30R204  0.969316  0.000004     2   2.848e+01   OH3b 
  OH30R103  0.970200  0.000007     2   1.187e+02   OH3a 
  OH30R102  0.972250  0.000005     2   1.544e+02   OH3a 
  OH30R202  0.974076  0.000003     2   5.592e+01   OH3a 
  OH30Q101  0.979380  0.000005     2   4.153e+02   OH3a 
  OH30Q102  0.980236  0.000017     2   1.331e+02   OH3a 
  OH30P201  0.985119  0.000006     2   9.803e+01   OH3a 
  OH30P101  0.987484  0.000008     2   3.236e+02   OH3a 
  OH30P202  0.989746  0.000002     2   1.319e+02   OH3a 
  OH30P102  0.991739  0.000014     2   3.452e+02   OH3a 
  OH95R202  0.997508  0.000000     2   7.477e+01   OH9a 
  OH30P204  1.000274  0.000009     2   5.457e+01   OH3b 
  OH95Q102  1.002820  0.000011     2   1.724e+02   OH9a 
  OH95P101  1.008523  0.000006     2   3.153e+02   OH9a 
  OH95P202  1.010637  0.000005     2   1.405e+02   OH9a 
  OH95P102  1.012678  0.000011     2   3.950e+02   OH9a 
  OH41R105  1.016127  0.000010     2   5.272e+01   OH5b 
  OH41R205  1.016716  0.000007     2   2.975e+01   OH5b 
  OH41R204  1.018383  0.000004     2   6.630e+01   OH5b 
  OH41R103  1.019250  0.000007     2   2.749e+02   OH5a 
  OH95P104  1.022859  0.000028     2   1.962e+02   OH9b 
  OH41R202  1.023346  0.000003     2   1.255e+02   OH5a 
  OH95P205  1.027390  0.000009     2   5.722e+01   OH9b 
  OH95P206  1.034287  0.000017     2   3.291e+01   OH9b 
  OH41P201  1.035013  0.000007     2   2.185e+02   OH5a 
  OH95P106  1.035684  0.000048     2   5.178e+01   OH9b 
  OH41P101  1.037572  0.000008     2   6.999e+02   OH5a 
  OH41P202  1.039939  0.000003     2   2.671e+02   OH5a 
  OH41P102  1.042122  0.000015     2   7.515e+02   OH5a 
  OH95P107  1.043142  0.000061     2   2.704e+01   OH8c 
  OH41P203  1.045337  0.000003     2   2.123e+02   OH5a 
  OH41P103  1.047183  0.000023     2   5.061e+02   OH5a 
  OH41P204  1.051201  0.000010     2   1.307e+02   OH5b 
  OH41P104  1.052766  0.000031     2   2.531e+02   OH5b 
  OH41P205  1.057540  0.000017     2   5.417e+01   OH5b 
  OH41P105  1.058876  0.000040     2   1.010e+02   OH5b 
  OH41P106  1.065521  0.000050     2   3.580e+01   OH5b 
  OH52R105  1.070004  0.000010     2   9.882e+01   OH5b 
  OH52R205  1.070641  0.000007     2   5.481e+01   OH5b 
  OH52R104  1.071368  0.000009     2   2.318e+02   OH5b 
  OH52R204  1.072335  0.000004     2   1.073e+02   OH5b 
  OH52R103  1.073171  0.000007     2   4.311e+02   OH5a 
  OH52R203  1.074615  0.000001     2   1.804e+02   OH5a 
  OH52R102  1.075392  0.000005     2   5.300e+02   OH5a 
  OH52R202  1.077506  0.000004     2   1.917e+02   OH5a 
  OH52Q101  1.083429  0.000005     2   1.453e+03   OH5a 
  OH52Q102  1.084469  0.000018     2   4.877e+02   OH5a 
  OH52Q103  1.085963  0.000041     2   1.524e+02   OH5a 
  OH52P201  1.089868  0.000007     2   3.218e+02   OH5a 
  OH52P101  1.092643  0.000008     2   1.061e+03   OH5a 
  OH52P202  1.095135  0.000003     2   4.133e+02   OH5a 
  OH52P102  1.097533  0.000015     2   1.168e+03   OH5a 
  OH52P203  1.100929  0.000003     2   3.332e+02   OH5a 
  OH52P103  1.102982  0.000024     2   8.076e+02   OH5a 
  OH52P204  1.107246  0.000010     2   2.042e+02   OH5b 
  OH52P104  1.109002  0.000033     2   4.243e+02   OH5b 
  OH52P205  1.114091  0.000017     2   9.580e+01   OH5b 
  OH52P105  1.115604  0.000043     2   1.804e+02   OH5b 
  OH63R104  1.131285  0.000009     2   3.685e+02   OH7b 
  OH63R103  1.133119  0.000007     2   6.246e+02   OH7a 
  OH63R102  1.135423  0.000005     2   6.901e+02   OH7a 
  OH63Q101  1.143994  0.000005     2   1.722e+03   OH7a 
  OH63Q102  1.145160  0.000018     2   6.160e+02   OH7a 
  OH63Q103  1.146833  0.000041     2   2.007e+02   OH7a 
  OH63P101  1.153879  0.000008     2   1.290e+03   OH7a 
  OH63P202  1.156525  0.000004     2   4.952e+02   OH7a 
  OH63P102  1.159169  0.000016     2   1.459e+03   OH7a 
  OH63P103  1.165075  0.000025     2   1.055e+03   OH7a 
  OH63P204  1.169635  0.000009     2   2.731e+02   OH7b 
  OH63P104  1.171616  0.000035     2   6.085e+02   OH7b 
  OH63P205  1.177082  0.000018     2   1.453e+02   OH7b 
  OH63P105  1.178804  0.000046     2   2.807e+02   OH7b 
  OH63P206  1.185144  0.000027     2   6.476e+01   OH7b 
  OH63P207  1.193839  0.000036     2   3.598e+01   OH8c 
  OH63P107  1.195172  0.000071     2   5.187e+01   OH8c 
  OH74R104  1.198865  0.000008     2   4.384e+02   OH7b 
  OH74R103  1.200708  0.000007     2   7.521e+02   OH7a 
  OH74R102  1.203088  0.000005     2   8.866e+02   OH7a 
  OH74Q101  1.212264  0.000005     2   2.189e+03   OH7a 
  OH74Q102  1.213592  0.000018     2   7.897e+02   OH7a 
  OH74Q203  1.214868  0.000032     2   3.154e+01   OH7a 
  OH74Q103  1.215494  0.000042     2   2.700e+02   OH7a 
  OH74Q104  1.217992  0.000077     2   7.198e+01   OH7b 
  OH74P201  1.219639  0.000009     2   4.875e+02   OH7a 
  OH74P101  1.222929  0.000009     2   1.608e+03   OH7a 
  OH74P202  1.225773  0.000005     2   6.573e+02   OH7a 
  OH74P102  1.228699  0.000017     2   1.820e+03   OH7a 
  OH74P103  1.235160  0.000027     2   1.377e+03   OH7a 
  OH74P204  1.240088  0.000009     2   3.720e+02   OH7b 
  OH74P104  1.242335  0.000038     2   7.945e+02   OH7b 
  OH74P205  1.248270  0.000018     2   2.308e+02   OH7b 
  OH74P105  1.250242  0.000050     2   3.739e+02   OH7b 
 O2a00S117  1.254210  0.000000     1   3.478e+02    O2a 
 O2a00S115  1.255809  0.000000     1   6.056e+02    O2a 
  OH85R202  1.283457  0.000003     2   4.663e+02   OH9a 
 O2a00O115  1.284555  0.000000     1   4.361e+02    O2a 
 O2a00O117  1.286665  0.000000     1   2.459e+02    O2a 
  OH85Q101  1.290571  0.000005     2   2.930e+03   OH9a 
  OH85Q202  1.291580  0.000030     2   1.025e+02   OH9a 
  OH85Q102  1.292113  0.000019     2   1.109e+03   OH9a 
  OH85Q203  1.293606  0.000034     2   3.981e+01   OH9a 
