# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference intensities for molecular lines (consistent with
# corresponding lines in palace_lines.fits)
# 
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020, cosby+06)
# trans: atmospheric transmission for standard conditions at Cerro Paranal
#        (noll+12), PWV = 2.5 mm, and zenith
# fH2O: fraction of H2O with respect to optical depth (based on transmission
#       spectra with PWV = 1 and 5 mm)
# I: reference intensity in R
# ID: 13 characters describing upper and lower states (HITRAN2020, cosby+06):
#     1-2: isotopologue (OH, QH, O2, OG, or OQ; G = 17O, Q = 18O)
#     3: upper electronic state (possible prime neglected)
#     4: lower electronic state
#     5: vibrational level of upper state (OH: X = 10, O2: A-F = 10-15)
#     6: vibrational level of lower state (O2: A-F = 10-15)
#     7-8: branch of band
#     9: number of upper electronic substate
#     10: number of lower electronic substate
#     11-12: rotational level of upper state
#     13: OH: parity e or f of upper state, O2: d[ipole] or q[uadrupole]
# chem: chemical species (OH or O2)
# M: molar mass in kg/mol
# Tkin: kinetic temperature in K for Doppler broadening of line
# hlay: height of emission layer in km (H: -1)
# src: 4-digit binary code for source of intensity I:
#      1: I based on X-shooter data (partly noll+23)? 1 = yes, 0 = no
#      2: I based on UVES data from noll+20? 1 = yes, 0 = no
#      3: I based on other data (cosby+06, oliva+15)? 1 = yes, 0 = no
#      4: I based on model (= 1) or direct measurement (= 0)?
# class: label of variability class
# 
# References:
# cosby+06: https://doi.org/10.1029/2006JA012023 (OH+O2, UVES)
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# noll+20: https://doi.org/10.5194/acp-20-5269-2020 (OH, UVES)
# noll+23: https://doi.org/10.1029/2022JD038275 (OH, X-shooter)
# oliva+15: https://doi.org/10.1051/0004-6361/201526291 (OH, GIANO)
# 
       lam   trans   fH2O          I             ID  chem      M   Tkin  hlay   src  class 
 0.3216799  0.9128  0.000  9.770e-02  O2AX34QQ1111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3216842  0.9129  0.000  6.882e-02  O2AX34QP3211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3217026  0.9131  0.000  8.484e-02  O2AX34QR1211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3217240  0.9129  0.000  8.295e-02  O2AX34QP2111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3217255  0.9128  0.000  8.171e-02  O2AX34QR2311d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3219510  0.8808  0.000  1.009e-01  O2AX34QQ1113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3219574  0.8788  0.000  9.286e-03  O2Aa70QQ1112d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3219586  0.8784  0.000  4.290e-02  O2AX34QP3213d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3219604  0.8779  0.000  1.541e-02  O2AaA1RR1103d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3219734  0.8739  0.000  5.178e-02  O2AX34QR1213d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3219944  0.8679  0.000  2.096e-02  O2AaA1RR1104d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3219959  0.8675  0.000  6.713e-02  O2AX34QP2113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3219979  0.8670  0.000  6.636e-02  O2AX34QR2313d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3222611  0.8709  0.000  5.502e-03  O2AX86OP1211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3222640  0.8712  0.000  1.710e-02  O2AX86QP3215d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3222668  0.8715  0.000  6.501e-02  O2AX34QQ1115d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3222758  0.8724  0.000  8.435e-02  O2AX34QP3215d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3222801  0.8729  0.000  4.183e-02  O2AX86QR1215d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3222857  0.8734  0.000  3.566e-02  O2AaA1QQ1106d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3223127  0.8761  0.000  7.780e-02  O2AX34QP2115d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3223151  0.8763  0.000  7.697e-02  O2AX34QR2315d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3230796  0.9033  0.000  2.814e-02  O2AX34QP2119d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3230822  0.9035  0.000  2.296e-02  O2AX55QR1209d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3230828  0.9035  0.000  2.796e-02  O2AX34QR2319d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3237222  0.9462  0.000  4.607e-02  O2cX95RQ1108d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3237424  0.9471  0.000  2.445e-02  O2cX95PQ1304d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3237437  0.9471  0.000  2.779e-02  O2cX95RR1208d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3239755  0.9500  0.000  2.554e-02  O2AX55QP2115d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3239779  0.9499  0.000  2.526e-02  O2AX55QR2315d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3259455  0.9418  0.000  5.017e-02  O2AX76QQ1105d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3259474  0.9420  0.000  1.362e-02  O2AX76OP1201d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3259676  0.9437  0.000  4.032e-02  O2AX76QR1205d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3259817  0.9450  0.000  4.697e-02  O2AX76QP2105d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3259817  0.9450  0.000  4.511e-02  O2AX76QR2305d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3261292  0.9518  0.000  2.666e-02  O2AX76QR1207d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3261465  0.9528  0.000  3.202e-02  O2AX76QP2107d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3261472  0.9528  0.000  3.127e-02  O2AX76QR2307d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3261472  0.9528  0.000  2.398e-02  O2Aa91RR1104d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3261940  0.9552  0.000  2.666e-02  O2Aa91RR1105d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3263210  0.9592  0.000  3.128e-02  O2AX76QP3209d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3263223  0.9592  0.000  4.425e-02  O2AX76QQ1109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3263382  0.9596  0.000  6.426e-03  O2AX76OP1205d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3263384  0.9596  0.000  3.388e-03  O2cX95PQ1318d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3263429  0.9596  0.000  1.298e-02  O2Aa91QQ1105d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3263439  0.9597  0.000  2.441e-02  O2AX76QR1209d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3263642  0.9601  0.000  7.289e-02  O2AX76QP2109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3263654  0.9601  0.000  7.158e-02  O2AX76QR2309d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3265893  0.9649  0.000  5.428e-02  O2AX76QQ1111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3265920  0.9649  0.000  3.774e-02  O2AX76QP3211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3266112  0.9652  0.000  1.040e-01  O2AX76QR1211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3266321  0.9656  0.000  4.829e-02  O2AX76QP2111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3266337  0.9656  0.000  4.762e-02  O2AX76QR2311d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3267981  0.9683  0.000  2.903e-02  O2Aa91RR1111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3268040  0.9684  0.000  3.837e-02  O2Aa91QQ1109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3269522  0.9669  0.000  2.718e-02  O2Aa91RR1112d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3269525  0.9669  0.000  3.926e-02  O2AX76QP2113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3269546  0.9668  0.000  3.886e-02  O2AX76QR2313d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3269569  0.9667  0.000  3.845e-02  O2Aa91QQ1110d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3272801  0.9492  0.000  1.610e-01  O2AX76QQ1115d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3272865  0.9492  0.000  4.529e-02  O2Aa91PP1110d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3272879  0.9492  0.000  1.021e-01  O2AX76QP3215d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3277025  0.9523  0.000  2.859e-02  O2Aa91PP1112d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3277060  0.9519  0.000  8.459e-02  O2AX76QQ1117d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3277282  0.9490  0.000  3.837e-02  O2AX76QR1217d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3277292  0.9488  0.000  4.718e-02  O2Aa91QQ1114d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3277297  0.9488  0.000  2.649e-02  O2Aa91RR1116d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3277309  0.9486  0.000  7.503e-03  O2Aa60RR1113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3281806  0.9300  0.000  1.236e-02  O2Aa91PP1114d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3281841  0.9303  0.000  3.150e-02  O2AX76QQ1119d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3281953  0.9313  0.000  1.844e-02  O2AX76QP3219d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3282084  0.9324  0.000  5.025e-02  O2AX76QR1219d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3282119  0.9327  0.000  7.016e-02  O2Aa91QQ1116d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3282316  0.9345  0.000  7.600e-02  O2AX76QP2119d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3282349  0.9347  0.000  7.539e-02  O2AX76QR2319d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3282546  0.9363  0.000  1.740e-02  O2AX76OP1215d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3282554  0.9363  0.000  1.873e-02  O2AX76QQ2219d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3282568  0.9365  0.000  1.108e-02  O2Aa60RR1116d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3286658  0.9606  0.000  1.136e-02  O2AX24OP1201d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3286659  0.9606  0.000  2.290e-03  O2AX24OP2301d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3286711  0.9609  0.000  3.964e-02  O2AX24QR2305d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3286712  0.9609  0.000  4.141e-02  O2AX24QP2105d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3287644  0.9657  0.000  2.957e-02  O2AX24QP3207d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3287647  0.9657  0.000  1.291e-02  O2Aa91RR1120d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3287685  0.9659  0.000  1.688e-02  O2AX76QR2321d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3287697  0.9659  0.000  4.183e-02  O2AX24QQ1107d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3287928  0.9667  0.000  2.301e-02  O2AX24QR1207d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3288123  0.9672  0.000  2.476e-02  O2AX24QP2107d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3288128  0.9672  0.000  2.416e-02  O2AX24QR2307d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3289539  0.9720  0.000  4.458e-02  O2AX24QQ1109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3289544  0.9720  0.000  3.235e-02  O2AX24QP3209d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3289765  0.9726  0.000  4.720e-02  O2AX24QR1209d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3289987  0.9731  0.000  3.255e-02  O2AX24QP2109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3289998  0.9731  0.000  3.196e-02  O2AX24QR2309d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3291822  0.9775  0.000  3.700e-02  O2AX24QQ1111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3291867  0.9776  0.000  2.600e-02  O2AX24QP3211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3293762  0.9801  0.000  2.567e-02  O2AX45QQ1103d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3294082  0.9805  0.000  3.080e-02  O2AX45QR2303d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3294093  0.9805  0.000  3.327e-02  O2AX45QP2103d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3296153  0.9800  0.000  8.039e-02  O2AX45QP3207d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3296207  0.9799  0.000  1.139e-01  O2AX45QQ1107d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3296432  0.9797  0.000  9.275e-02  O2AX45QR1207d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3296621  0.9797  0.000  8.137e-03  O2Aa91PP1119d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3296626  0.9797  0.000  6.129e-02  O2AX45QP2107d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3296632  0.9797  0.000  5.984e-02  O2AX45QR2307d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3296639  0.9797  0.000  1.729e-02  O2AX45OP1203d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3298144  0.9801  0.000  1.310e-01  O2AX45QQ1109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3298148  0.9801  0.000  9.395e-02  O2AX45QP3209d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3298584  0.9802  0.000  1.068e-01  O2AX45QP2109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3298595  0.9802  0.000  1.047e-01  O2AX45QR2309d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3300555  0.9804  0.000  9.879e-02  O2AX45QQ1111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3300599  0.9803  0.000  6.950e-02  O2AX45QP3211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3301013  0.9792  0.000  8.662e-02  O2AX45QP2111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3301029  0.9792  0.000  8.542e-02  O2AX45QR2311d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3303445  0.9598  0.000  1.876e-01  O2AX45QQ1113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3303518  0.9597  0.000  1.264e-01  O2AX45QP3213d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3303674  0.9593  0.000  7.738e-02  O2AX45QR1213d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3303913  0.9589  0.000  6.858e-02  O2AX45QP2113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3303934  0.9589  0.000  6.750e-02  O2AX45QR2313d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3306810  0.9645  0.000  1.190e-01  O2AX45QQ1115d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3307041  0.9653  0.000  6.377e-02  O2AX45QR1215d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3307279  0.9662  0.000  5.985e-02  O2AX45QP2115d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3307304  0.9663  0.000  5.927e-02  O2AX45QR2315d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3310638  0.9513  0.000  6.992e-02  O2AX45QQ1117d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3310880  0.9505  0.000  5.258e-02  O2AX45QR1217d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3311108  0.9502  0.000  7.896e-02  O2Aa81RR1103d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3311125  0.9502  0.000  4.393e-02  O2AX45QP2117d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3311154  0.9502  0.000  4.365e-02  O2AX45QR2317d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3311399  0.9502  0.000  7.063e-02  O2Aa81RR1104d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3311839  0.9513  0.000  4.624e-02  O2Aa81RR1105d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3312425  0.9543  0.000  3.400e-02  O2Aa81RR1106d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3314053  0.9607  0.000  3.651e-02  O2Aa81RR1108d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3314274  0.9619  0.000  1.041e-01  O2Aa81QQ1106d    O2  0.032  190.0  94.0  0010   O2Ac 
