# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter VIS-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter VIS-arm spectra
# upix: upper pixel of bin in X-shooter VIS-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng   rdelp    rdp        mfs       mdfs   rdels    rds 
 0.58593   2599   2627  6858   7.036e+00  7.270e+00  2.439e+00  6.181e+00  5.405e-01   0.033  0.954  5.881e+00  2.189e+00  -0.164  0.777 
 0.58651   2628   2657  6870   1.463e+01  1.480e+01  4.416e+00  6.313e+00  7.010e-01   0.012  1.156  1.326e+01  3.801e+00  -0.093  0.955 
 0.58710   2658   2686  6868   1.048e+01  1.085e+01  3.413e+00  6.399e+00  6.289e-01   0.035  1.073  9.415e+00  2.858e+00  -0.101  0.849 
 0.58769   2687   2715  6852   8.423e+00  8.692e+00  2.874e+00  6.508e+00  5.719e-01   0.032  0.946  6.248e+00  2.223e+00  -0.258  0.670 
 0.58827   2716   2745  6863   8.064e+00  8.461e+00  2.828e+00  6.475e+00  5.665e-01   0.049  0.975  5.854e+00  2.185e+00  -0.274  0.677 
 0.58886   2746   2774  6740   6.665e+01  6.396e+01  2.428e+01  6.061e+00  9.134e-01  -0.040  0.919  6.843e+01  2.425e+01   0.028  0.819 
 0.58945   2775   2804  6860   3.805e+01  3.764e+01  1.438e+01  5.562e+00  8.712e-01  -0.011  1.068  3.961e+01  1.426e+01   0.041  0.932 
 0.59004   2805   2833  6856   8.849e+00  8.738e+00  2.907e+00  5.895e+00  5.972e-01  -0.013  1.017  6.108e+00  2.217e+00  -0.310  0.692 
 0.59063   2834   2863  6867   1.057e+01  1.094e+01  3.464e+00  6.212e+00  6.378e-01   0.035  1.087  8.089e+00  2.632e+00  -0.234  0.757 
 0.59122   2864   2892  6863   9.883e+00  1.042e+01  3.337e+00  6.284e+00  6.239e-01   0.055  1.078  7.721e+00  2.629e+00  -0.218  0.770 
 0.59181   2893   2922  6869   1.328e+01  1.333e+01  4.069e+00  6.246e+00  6.810e-01   0.004  1.120  1.012e+01  3.206e+00  -0.238  0.825 
 0.59240   2923   2951  6867   1.107e+01  1.142e+01  3.586e+00  6.405e+00  6.407e-01   0.032  1.064  8.734e+00  2.856e+00  -0.211  0.786 
 0.59300   2952   2981  6866   1.247e+01  1.258e+01  3.878e+00  6.275e+00  6.671e-01   0.008  1.095  1.034e+01  3.299e+00  -0.171  0.874 
