# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra with atmospheric extinction for the total emission
# and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: air wavelength in µm
# f{species}: flux in R/nm with atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam     fall    dfall      fOH     dfOH      fO2     dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3053     1.52     0.62     0.00     0.00     1.29     0.52   0.08   0.04  0.15   0.06   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3054     1.53     0.63     0.00     0.00     1.30     0.52   0.08   0.04  0.15   0.06   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3055     1.54     0.63     0.00     0.00     1.31     0.53   0.08   0.04  0.15   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3056     1.55     0.63     0.00     0.00     1.31     0.53   0.08   0.04  0.15   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3057     1.55     0.64     0.00     0.00     1.32     0.53   0.08   0.04  0.15   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3058     1.57     0.64     0.00     0.00     1.33     0.53   0.08   0.04  0.16   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3059     1.58     0.65     0.00     0.00     1.34     0.54   0.08   0.04  0.16   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3060     1.59     0.65     0.00     0.00     1.34     0.54   0.08   0.04  0.16   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3061     1.59     0.65     0.00     0.00     1.35     0.54   0.08   0.04  0.16   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3062     1.60     0.66     0.00     0.00     1.35     0.54   0.08   0.04  0.16   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3063     1.61     0.66     0.00     0.00     1.37     0.55   0.09   0.04  0.16   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3064     1.64     0.67     0.00     0.00     1.39     0.56   0.09   0.04  0.16   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3065     1.67     0.68     0.00     0.00     1.41     0.57   0.09   0.04  0.17   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3066     1.70     0.70     0.00     0.00     1.44     0.58   0.09   0.05  0.17   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3067     1.73     0.71     0.00     0.00     1.46     0.59   0.09   0.05  0.17   0.07   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3068     1.77     0.72     0.00     0.00     1.49     0.60   0.09   0.05  0.18   0.08   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3069     1.81     0.74     0.00     0.00     1.53     0.61   0.10   0.05  0.18   0.08   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3070     1.85     0.76     0.00     0.00     1.56     0.63   0.10   0.05  0.19   0.08   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3071     1.89     0.78     0.00     0.00     1.60     0.64   0.10   0.05  0.19   0.08   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3072     1.93     0.79     0.00     0.00     1.63     0.66   0.10   0.05  0.20   0.08   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3073     1.96     0.80     0.00     0.00     1.66     0.67   0.10   0.05  0.20   0.08   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3074     1.99     0.82     0.00     0.00     1.68     0.68   0.11   0.05  0.20   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3075     2.01     0.83     0.00     0.00     1.70     0.68   0.11   0.05  0.20   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
