# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter UVB-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter UVB-arm spectra
# upix: upper pixel of bin in X-shooter UVB-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng    rdelp    rdp        mfs       mdfs    rdels    rds 
 0.32170   1131   1146  6861   7.135e+00  7.635e+00  2.738e+00  1.422e+00  8.430e-01    0.070  0.998  4.853e+00  2.422e+00   -0.320  0.851 
 0.32202   1147   1162  6855   5.884e+00  6.971e+00  2.499e+00  1.451e+00  8.277e-01    0.185  1.059  4.331e+00  2.252e+00   -0.264  0.929 
 0.32234   1163   1179  6853   5.024e+00  6.484e+00  2.323e+00  1.435e+00  8.188e-01    0.291  1.071  4.113e+00  2.265e+00   -0.181  1.020 
 0.32266   1180   1195  6860   6.086e+00  5.074e+00  1.814e+00  1.310e+00  7.947e-01   -0.166  0.749  3.282e+00  2.095e+00   -0.461  0.827 
 0.32298   1196   1211  6859   5.324e+00  5.417e+00  1.937e+00  1.298e+00  8.067e-01    0.017  0.897  3.666e+00  2.206e+00   -0.311  0.982 
 0.32331   1212   1227  6854   4.994e+00  5.281e+00  1.887e+00  1.431e+00  7.868e-01    0.057  0.909  3.563e+00  2.260e+00   -0.287  1.050 
 0.32363   1228   1243  6846   4.673e+00  5.457e+00  1.951e+00  1.469e+00  7.879e-01    0.168  0.996  3.933e+00  2.318e+00   -0.159  1.145 
 0.32395   1244   1259  6849   4.593e+00  4.753e+00  1.697e+00  1.595e+00  7.488e-01    0.035  0.872  3.797e+00  2.305e+00   -0.174  1.142 
 0.32428   1260   1276  6852   3.954e+00  4.082e+00  1.455e+00  1.658e+00  7.112e-01    0.032  0.789  3.595e+00  2.259e+00   -0.091  1.179 
 0.32460   1277   1292  6846   3.285e+00  3.801e+00  1.354e+00  1.629e+00  7.000e-01    0.157  0.777  3.518e+00  2.203e+00    0.071  1.218 
