# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra without atmospheric extinction for the total
# emission and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: vacuum wavelength in µm
# f{species}: flux in R/nm without atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam      fall     dfall      fOH     dfOH       fO2      dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3072      4.05      1.66     0.00     0.00      3.43      1.38   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3073      4.05      1.66     0.00     0.00      3.43      1.38   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3074      4.05      1.66     0.00     0.00      3.42      1.38   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3075      4.04      1.66     0.00     0.00      3.42      1.38   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3076      4.04      1.66     0.00     0.00      3.41      1.37   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3077      4.04      1.66     0.00     0.00      3.41      1.37   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3078      4.03      1.65     0.00     0.00      3.41      1.37   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3079      4.03      1.65     0.00     0.00      3.40      1.37   0.22   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3080      4.03      1.65     0.00     0.00      3.40      1.37   0.22   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3081      4.02      1.65     0.00     0.00      3.40      1.37   0.22   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3082      4.02      1.65     0.00     0.00      3.39      1.36   0.22   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3083      4.01      1.65     0.00     0.00      3.39      1.36   0.22   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3084      4.01      1.65     0.00     0.00      3.38      1.36   0.22   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3085      4.01      1.64     0.00     0.00      3.38      1.36   0.22   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3086      4.00      1.64     0.00     0.00      3.38      1.36   0.22   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3087      4.00      1.64     0.00     0.00      3.37      1.36   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3088      4.00      1.64     0.00     0.00      3.37      1.36   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3089      3.99      1.64     0.00     0.00      3.37      1.35   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3090      3.99      1.64     0.00     0.00      3.36      1.35   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3091      3.98      1.64     0.00     0.00      3.36      1.35   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3092      3.98      1.63     0.00     0.00      3.35      1.35   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
